acc_genome,integron_id,locus_id,start_Pc,end_Pc,Pc_variant
GCA_061097685.1_ASM6109768v1_genomic.attC_filtered,integron_01,ACFDPU010000002.1,898,927,PcW
GCA_061097705.1_ASM6109770v1_genomic.attC_filtered,integron_01,ACFDPT010000002.1,898,927,PcW
GCA_061097805.1_ASM6109780v1_genomic.attC_filtered,integron_01,ACFDPY010000142.1,898,927,PcW
GCA_061098125.1_ASM6109812v1_genomic.attC_filtered,integron_01,ACFDQF010000114.1,646,675,PcH1
GCA_061098205.1_ASM6109820v1_genomic.attC_filtered,integron_01,ACFDQE010000151.1,898,927,PcW
GCA_061098265.1_ASM6109826v1_genomic.attC_filtered,integron_01,ACFDQH010000038.1,751,780,PcWTGN-10
GCA_061098465.1_ASM6109846v1_genomic.attC_filtered,integron_01,ACFDQQ010000154.1,898,927,PcW
GCA_061098485.1_ASM6109848v1_genomic.attC_filtered,integron_01,ACFDQL010000161.1,898,927,PcW
GCA_061098515.1_ASM6109851v1_genomic.attC_filtered,integron_01,ACFDQP010000144.1,898,927,PcW
GCA_061098705.1_ASM6109870v1_genomic.attC_filtered,integron_01,ACFDQM010000143.1,898,927,PcW
GCA_061179575.1_ASM6117957v1_genomic.attC_filtered,integron_01,ACFDQZ010000224.1,898,927,PcW
GCA_061179775.1_ASM6117977v1_genomic.attC_filtered,integron_01,ACFDQW010000143.1,898,927,PcW
GCA_061215145.1_ASM6121514v1_genomic.attC_filtered,integron_01,JANSKE010000063.1,898,927,PcWTGN-10
