acc_genome,integron_id,locus_id
GCA_061042015.1_ASM6104201v1_genomic.attC_filtered,integron_01,DBQXIP010000096.1
GCA_061042015.1_ASM6104201v1_genomic.attC_filtered,integron_01,DBQXIP010000052.1
GCA_061042395.1_ASM6104239v1_genomic.attC_filtered,integron_01,DBQXIY010000104.1
GCA_061042535.1_ASM6104253v1_genomic.attC_filtered,integron_01,DBQXJB010000093.1
GCA_061042555.1_ASM6104255v1_genomic.attC_filtered,integron_01,DBQXJD010000058.1
GCA_061042555.1_ASM6104255v1_genomic.attC_filtered,integron_01,DBQXJD010000086.1
GCA_061044555.1_ASM6104455v1_genomic.attC_filtered,integron_01,ACFCYH010000391.1
GCA_061044555.1_ASM6104455v1_genomic.attC_filtered,integron_01,ACFCYH010000390.1
GCA_061044555.1_ASM6104455v1_genomic.attC_filtered,integron_01,ACFCYH010000385.1
GCA_061044555.1_ASM6104455v1_genomic.attC_filtered,integron_01,ACFCYH010000147.1
GCA_061047795.1_ASM6104779v1_genomic.attC_filtered,integron_01,DBQXKK010000148.1
GCA_061048575.1_ASM6104857v1_genomic.attC_filtered,integron_01,DBQXKZ010000101.1
GCA_061048575.1_ASM6104857v1_genomic.attC_filtered,integron_01,DBQXKZ010000051.1
GCA_061048575.1_ASM6104857v1_genomic.attC_filtered,integron_01,DBQXKZ010000063.1
GCA_061048575.1_ASM6104857v1_genomic.attC_filtered,integron_01,DBQXKZ010000105.1
GCA_061048655.1_ASM6104865v1_genomic.attC_filtered,integron_01,DBQXLB010000156.1
GCA_061048655.1_ASM6104865v1_genomic.attC_filtered,integron_01,DBQXLB010000049.1
GCA_061048655.1_ASM6104865v1_genomic.attC_filtered,integron_01,DBQXLB010000155.1
GCA_061048695.1_ASM6104869v1_genomic.attC_filtered,integron_01,DBQXLC010000052.1
GCA_061048695.1_ASM6104869v1_genomic.attC_filtered,integron_01,DBQXLC010000063.1
GCA_061048695.1_ASM6104869v1_genomic.attC_filtered,integron_01,DBQXLC010000111.1
GCA_061048695.1_ASM6104869v1_genomic.attC_filtered,integron_01,DBQXLC010000105.1
GCA_061048695.1_ASM6104869v1_genomic.attC_filtered,integron_01,DBQXLC010000102.1
GCA_061048695.1_ASM6104869v1_genomic.attC_filtered,integron_01,DBQXLC010000113.1
GCA_061048815.1_ASM6104881v1_genomic.attC_filtered,integron_01,DBQXLF010000204.1
GCA_061048815.1_ASM6104881v1_genomic.attC_filtered,integron_01,DBQXLF010000119.1
GCA_061048815.1_ASM6104881v1_genomic.attC_filtered,integron_01,DBQXLF010000193.1
GCA_061049135.1_ASM6104913v1_genomic.attC_filtered,integron_01,DBQXLP010000077.1
GCA_061049135.1_ASM6104913v1_genomic.attC_filtered,integron_01,DBQXLP010000012.1
GCA_061049245.1_ASM6104924v1_genomic.attC_filtered,integron_01,DBQXLS010000036.1
GCA_061049245.1_ASM6104924v1_genomic.attC_filtered,integron_01,DBQXLS010000083.1
GCA_061049245.1_ASM6104924v1_genomic.attC_filtered,integron_01,DBQXLS010000084.1
GCA_061049245.1_ASM6104924v1_genomic.attC_filtered,integron_01,DBQXLS010000081.1
GCA_061049375.1_ASM6104937v1_genomic.attC_filtered,integron_01,DBQXLU010000010.1
GCA_061049375.1_ASM6104937v1_genomic.attC_filtered,integron_01,DBQXLU010000082.1
GCA_061049415.1_ASM6104941v1_genomic.attC_filtered,integron_01,DBQXLT010000091.1
GCA_061049415.1_ASM6104941v1_genomic.attC_filtered,integron_01,DBQXLT010000011.1
GCA_061049435.1_ASM6104943v1_genomic.attC_filtered,integron_01,DBQXLV010000079.1
GCA_061049435.1_ASM6104943v1_genomic.attC_filtered,integron_01,DBQXLV010000011.1
GCA_061051455.1_ASM6105145v1_genomic.attC_filtered,integron_01,ACFCYY010000095.1
GCA_061051455.1_ASM6105145v1_genomic.attC_filtered,integron_01,ACFCYY010000080.1
GCA_061051455.1_ASM6105145v1_genomic.attC_filtered,integron_01,ACFCYY010000114.1
GCA_061051455.1_ASM6105145v1_genomic.attC_filtered,integron_01,ACFCYY010000071.1
GCA_061051455.1_ASM6105145v1_genomic.attC_filtered,integron_01,ACFCYY010000113.1
GCA_061051455.1_ASM6105145v1_genomic.attC_filtered,integron_01,ACFCYY010000125.1
GCA_061051455.1_ASM6105145v1_genomic.attC_filtered,integron_01,ACFCYY010000126.1
GCA_061051515.1_ASM6105151v1_genomic.attC_filtered,integron_01,DBQXNH010000132.1
GCA_061051515.1_ASM6105151v1_genomic.attC_filtered,integron_01,DBQXNH010000136.1
GCA_061051515.1_ASM6105151v1_genomic.attC_filtered,integron_01,DBQXNH010000081.1
GCA_061051515.1_ASM6105151v1_genomic.attC_filtered,integron_01,DBQXNH010000105.1
GCA_061051535.1_ASM6105153v1_genomic.attC_filtered,integron_01,DBQXNG010000121.1
GCA_061051535.1_ASM6105153v1_genomic.attC_filtered,integron_01,DBQXNG010000165.1
GCA_061051615.1_ASM6105161v1_genomic.attC_filtered,integron_01,DBQXNI010000101.1
GCA_061051615.1_ASM6105161v1_genomic.attC_filtered,integron_01,DBQXNI010000097.1
GCA_061051615.1_ASM6105161v1_genomic.attC_filtered,integron_01,DBQXNI010000062.1
GCA_061051615.1_ASM6105161v1_genomic.attC_filtered,integron_01,DBQXNI010000099.1
GCA_061051615.1_ASM6105161v1_genomic.attC_filtered,integron_01,DBQXNI010000071.1
GCA_061051615.1_ASM6105161v1_genomic.attC_filtered,integron_01,DBQXNI010000096.1
GCA_061051615.1_ASM6105161v1_genomic.attC_filtered,integron_01,DBQXNI010000061.1
GCA_061051655.1_ASM6105165v1_genomic.attC_filtered,integron_01,DBQXNK010000109.1
GCA_061051655.1_ASM6105165v1_genomic.attC_filtered,integron_01,DBQXNK010000160.1
GCA_061051655.1_ASM6105165v1_genomic.attC_filtered,integron_01,DBQXNK010000155.1
GCA_061051775.1_ASM6105177v1_genomic.attC_filtered,integron_01,DBQXNN010000123.1
GCA_061051775.1_ASM6105177v1_genomic.attC_filtered,integron_01,DBQXNN010000075.1
GCA_061051815.1_ASM6105181v1_genomic.attC_filtered,integron_01,DBQXNO010000084.1
GCA_061051815.1_ASM6105181v1_genomic.attC_filtered,integron_01,DBQXNO010000044.1
GCA_061051815.1_ASM6105181v1_genomic.attC_filtered,integron_01,DBQXNO010000091.1
GCA_061051815.1_ASM6105181v1_genomic.attC_filtered,integron_01,DBQXNO010000067.1
GCA_061052075.1_ASM6105207v1_genomic.attC_filtered,integron_01,DBQXNU010000083.1
GCA_061052075.1_ASM6105207v1_genomic.attC_filtered,integron_01,DBQXNU010000109.1
GCA_061052075.1_ASM6105207v1_genomic.attC_filtered,integron_01,DBQXNU010000110.1
GCA_061052075.1_ASM6105207v1_genomic.attC_filtered,integron_01,DBQXNU010000103.1
GCA_061052075.1_ASM6105207v1_genomic.attC_filtered,integron_01,DBQXNU010000057.1
GCA_061052075.1_ASM6105207v1_genomic.attC_filtered,integron_01,DBQXNU010000068.1
GCA_061052095.1_ASM6105209v1_genomic.attC_filtered,integron_01,DBQXNT010000094.1
GCA_061052095.1_ASM6105209v1_genomic.attC_filtered,integron_01,DBQXNT010000107.1
GCA_061052095.1_ASM6105209v1_genomic.attC_filtered,integron_01,DBQXNT010000141.1
GCA_061052215.1_ASM6105221v1_genomic.attC_filtered,integron_01,DBQXNY010000203.1
GCA_061052215.1_ASM6105221v1_genomic.attC_filtered,integron_01,DBQXNY010000105.1
GCA_061052215.1_ASM6105221v1_genomic.attC_filtered,integron_01,DBQXNY010000204.1
GCA_061052275.1_ASM6105227v1_genomic.attC_filtered,integron_01,DBQXNZ010000160.1
GCA_061052275.1_ASM6105227v1_genomic.attC_filtered,integron_01,DBQXNZ010000165.1
GCA_061052275.1_ASM6105227v1_genomic.attC_filtered,integron_01,DBQXNZ010000109.1
GCA_061052295.1_ASM6105229v1_genomic.attC_filtered,integron_01,DBQXOA010000225.1
GCA_061052295.1_ASM6105229v1_genomic.attC_filtered,integron_01,DBQXOA010000217.1
GCA_061052295.1_ASM6105229v1_genomic.attC_filtered,integron_01,DBQXOA010000084.1
GCA_061052295.1_ASM6105229v1_genomic.attC_filtered,integron_01,DBQXOA010000131.1
GCA_061053215.1_ASM6105321v1_genomic.attC_filtered,integron_01,DBQXOK010000094.1
GCA_061053285.1_ASM6105328v1_genomic.attC_filtered,integron_01,DBQXOM010000090.1
GCA_061054235.1_ASM6105423v1_genomic.attC_filtered,integron_01,ACFCZQ010000084.1
GCA_061054235.1_ASM6105423v1_genomic.attC_filtered,integron_01,ACFCZQ010000055.1
GCA_061054235.1_ASM6105423v1_genomic.attC_filtered,integron_01,ACFCZQ010000085.1
GCA_061054235.1_ASM6105423v1_genomic.attC_filtered,integron_01,ACFCZQ010000081.1
GCA_061054235.1_ASM6105423v1_genomic.attC_filtered,integron_01,ACFCZQ010000062.1
GCA_061054575.1_ASM6105457v1_genomic.attC_filtered,integron_01,DBQXPJ010000149.1
GCA_061054575.1_ASM6105457v1_genomic.attC_filtered,integron_01,DBQXPJ010000148.1
GCA_061054575.1_ASM6105457v1_genomic.attC_filtered,integron_01,DBQXPJ010000060.1
GCA_061054635.1_ASM6105463v1_genomic.attC_filtered,integron_01,DBQXPM010000079.1
GCA_061054635.1_ASM6105463v1_genomic.attC_filtered,integron_01,DBQXPM010000043.1
GCA_061054685.1_ASM6105468v1_genomic.attC_filtered,integron_01,DBQXPN010000077.1
GCA_061054685.1_ASM6105468v1_genomic.attC_filtered,integron_01,DBQXPN010000147.1
GCA_061054955.1_ASM6105495v1_genomic.attC_filtered,integron_01,DBQXPU010000080.1
GCA_061054955.1_ASM6105495v1_genomic.attC_filtered,integron_01,DBQXPU010000013.1
GCA_061055055.1_ASM6105505v1_genomic.attC_filtered,integron_01,DBQXPW010000092.1
GCA_061055055.1_ASM6105505v1_genomic.attC_filtered,integron_01,DBQXPW010000090.1
GCA_061055055.1_ASM6105505v1_genomic.attC_filtered,integron_01,DBQXPW010000036.1
GCA_061055055.1_ASM6105505v1_genomic.attC_filtered,integron_01,DBQXPW010000089.1
GCA_061055095.1_ASM6105509v1_genomic.attC_filtered,integron_01,DBQXPX010000086.1
GCA_061055095.1_ASM6105509v1_genomic.attC_filtered,integron_01,DBQXPX010000035.1
GCA_061055095.1_ASM6105509v1_genomic.attC_filtered,integron_01,DBQXPX010000088.1
GCA_061057895.1_ASM6105789v1_genomic.attC_filtered,integron_01,ACFDBG010000031.1
GCA_061057895.1_ASM6105789v1_genomic.attC_filtered,integron_01,ACFDBG010000188.1
GCA_061063935.1_ASM6106393v1_genomic.attC_filtered,integron_01,ACFDBW010000060.1
GCA_061063955.1_ASM6106395v1_genomic.attC_filtered,integron_01,ACFDBY010000345.1
GCA_061063955.1_ASM6106395v1_genomic.attC_filtered,integron_01,ACFDBY010000044.1
GCA_061066365.1_ASM6106636v1_genomic.attC_filtered,integron_01,ACFDCK010000151.1
GCA_061079285.1_ASM6107928v1_genomic.attC_filtered,integron_01,ACFDCV010000395.1
GCA_061079285.1_ASM6107928v1_genomic.attC_filtered,integron_01,ACFDCV010000034.1
GCA_061079305.1_ASM6107930v1_genomic.attC_filtered,integron_01,ACFDCW010000335.1
GCA_061079305.1_ASM6107930v1_genomic.attC_filtered,integron_01,ACFDCW010000186.1
GCA_061079305.1_ASM6107930v1_genomic.attC_filtered,integron_01,ACFDCW010000336.1
GCA_061080935.1_ASM6108093v1_genomic.attC_filtered,integron_01,ACFDDH010000372.1
GCA_061080935.1_ASM6108093v1_genomic.attC_filtered,integron_01,ACFDDH010000036.1
GCA_061080955.1_ASM6108095v1_genomic.attC_filtered,integron_01,ACFDDI010000036.1
GCA_061081355.1_ASM6108135v1_genomic.attC_filtered,integron_01,ACFDDJ010000349.1
GCA_061081355.1_ASM6108135v1_genomic.attC_filtered,integron_01,ACFDDJ010000142.1
GCA_061081355.1_ASM6108135v1_genomic.attC_filtered,integron_01,ACFDDJ010000393.1
GCA_061084505.1_ASM6108450v1_genomic.attC_filtered,integron_01,ACFDFO010000061.1
GCA_061084505.1_ASM6108450v1_genomic.attC_filtered,integron_01,ACFDFO010000086.1
GCA_061084915.1_ASM6108491v1_genomic.attC_filtered,integron_01,ACFDFX010000376.1
GCA_061084915.1_ASM6108491v1_genomic.attC_filtered,integron_01,ACFDFX010000371.1
GCA_061084915.1_ASM6108491v1_genomic.attC_filtered,integron_01,ACFDFX010000377.1
GCA_061084915.1_ASM6108491v1_genomic.attC_filtered,integron_01,ACFDFX010000143.1
GCA_061084915.1_ASM6108491v1_genomic.attC_filtered,integron_01,ACFDFX010000346.1
GCA_061084935.1_ASM6108493v1_genomic.attC_filtered,integron_01,ACFDFY010000036.1
GCA_061084935.1_ASM6108493v1_genomic.attC_filtered,integron_01,ACFDFY010000350.1
GCA_061085095.1_ASM6108509v1_genomic.attC_filtered,integron_01,ACFDGB010000207.1
GCA_061085095.1_ASM6108509v1_genomic.attC_filtered,integron_01,ACFDGB010000358.1
GCA_061085175.1_ASM6108517v1_genomic.attC_filtered,integron_01,ACFDGC010000035.1
GCA_061085175.1_ASM6108517v1_genomic.attC_filtered,integron_01,ACFDGC010000367.1
GCA_061085445.1_ASM6108544v1_genomic.attC_filtered,integron_01,ACFDGJ010000134.1
GCA_061085445.1_ASM6108544v1_genomic.attC_filtered,integron_01,ACFDGJ010000250.1
GCA_061085445.1_ASM6108544v1_genomic.attC_filtered,integron_01,ACFDGJ010000338.1
GCA_061085445.1_ASM6108544v1_genomic.attC_filtered,integron_01,ACFDGJ010000337.1
GCA_061087545.1_ASM6108754v1_genomic.attC_filtered,integron_01,ACFDHT010000182.1
GCA_061087545.1_ASM6108754v1_genomic.attC_filtered,integron_01,ACFDHT010000335.1
GCA_061087545.1_ASM6108754v1_genomic.attC_filtered,integron_01,ACFDHT010000336.1
GCA_061087545.1_ASM6108754v1_genomic.attC_filtered,integron_01,ACFDHT010000040.1
GCA_061087545.1_ASM6108754v1_genomic.attC_filtered,integron_01,ACFDHT010000337.1
GCA_061090725.1_ASM6109072v1_genomic.attC_filtered,integron_01,ACFDJR010000041.1
GCA_061090725.1_ASM6109072v1_genomic.attC_filtered,integron_01,ACFDJR010000383.1
GCA_061091045.1_ASM6109104v1_genomic.attC_filtered,integron_01,ACFDJY010000151.1
GCA_061091045.1_ASM6109104v1_genomic.attC_filtered,integron_01,ACFDJY010000536.1
GCA_061091045.1_ASM6109104v1_genomic.attC_filtered,integron_01,ACFDJY010000530.1
GCA_061091165.1_ASM6109116v1_genomic.attC_filtered,integron_01,ACFDKC010000275.1
GCA_061091175.1_ASM6109117v1_genomic.attC_filtered,integron_01,ACFDKB010000016.1
GCA_061091175.1_ASM6109117v1_genomic.attC_filtered,integron_01,ACFDKB010000099.1
GCA_061091445.1_ASM6109144v1_genomic.attC_filtered,integron_01,ACFDKH010000037.1
GCA_061091445.1_ASM6109144v1_genomic.attC_filtered,integron_01,ACFDKH010000419.1
GCA_061091545.1_ASM6109154v1_genomic.attC_filtered,integron_01,ACFDKK010000420.1
GCA_061091545.1_ASM6109154v1_genomic.attC_filtered,integron_01,ACFDKK010000419.1
GCA_061091545.1_ASM6109154v1_genomic.attC_filtered,integron_01,ACFDKK010000414.1
GCA_061091545.1_ASM6109154v1_genomic.attC_filtered,integron_01,ACFDKK010000147.1
GCA_061091665.1_ASM6109166v1_genomic.attC_filtered,integron_01,ACFDKM010000062.1
GCA_061091665.1_ASM6109166v1_genomic.attC_filtered,integron_01,ACFDKM010000046.1
GCA_061092065.1_ASM6109206v1_genomic.attC_filtered,integron_01,ACFDKW010000253.1
GCA_061092125.1_ASM6109212v1_genomic.attC_filtered,integron_01,ACFDKX010000366.1
GCA_061092125.1_ASM6109212v1_genomic.attC_filtered,integron_01,ACFDKX010000036.1
GCA_061092165.1_ASM6109216v1_genomic.attC_filtered,integron_01,ACFDKY010000346.1
GCA_061092165.1_ASM6109216v1_genomic.attC_filtered,integron_01,ACFDKY010000034.1
GCA_061092185.1_ASM6109218v1_genomic.attC_filtered,integron_01,ACFDLA010000160.1
GCA_061092185.1_ASM6109218v1_genomic.attC_filtered,integron_01,ACFDLA010000337.1
GCA_061092245.1_ASM6109224v1_genomic.attC_filtered,integron_01,ACFDKZ010000187.1
GCA_061092245.1_ASM6109224v1_genomic.attC_filtered,integron_01,ACFDKZ010000328.1
GCA_061092265.1_ASM6109226v1_genomic.attC_filtered,integron_01,ACFDLB010000268.1
GCA_061092305.1_ASM6109230v1_genomic.attC_filtered,integron_01,ACFDLC010000037.1
GCA_061092305.1_ASM6109230v1_genomic.attC_filtered,integron_01,ACFDLC010000361.1
GCA_061092345.1_ASM6109234v1_genomic.attC_filtered,integron_01,ACFDLD010000177.1
GCA_061092345.1_ASM6109234v1_genomic.attC_filtered,integron_01,ACFDLD010000285.1
GCA_061092425.1_ASM6109242v1_genomic.attC_filtered,integron_01,ACFDLE010000347.1
GCA_061092425.1_ASM6109242v1_genomic.attC_filtered,integron_01,ACFDLE010000349.1
GCA_061092425.1_ASM6109242v1_genomic.attC_filtered,integron_01,ACFDLE010000033.1
GCA_061094205.1_ASM6109420v1_genomic.attC_filtered,integron_01,ACFDMP010000146.1
GCA_061094205.1_ASM6109420v1_genomic.attC_filtered,integron_01,ACFDMP010000103.1
GCA_061094685.1_ASM6109468v1_genomic.attC_filtered,integron_01,ACFDNM010000331.1
GCA_061094685.1_ASM6109468v1_genomic.attC_filtered,integron_01,ACFDNM010000179.1
GCA_061094685.1_ASM6109468v1_genomic.attC_filtered,integron_01,ACFDNM010000231.1
GCA_061094945.1_ASM6109494v1_genomic.attC_filtered,integron_01,ACFDNI010000329.1
GCA_061094945.1_ASM6109494v1_genomic.attC_filtered,integron_01,ACFDNI010000182.1
GCA_061094945.1_ASM6109494v1_genomic.attC_filtered,integron_01,ACFDNI010000328.1
GCA_061095005.1_ASM6109500v1_genomic.attC_filtered,integron_01,ACFDNK010000371.1
GCA_061095005.1_ASM6109500v1_genomic.attC_filtered,integron_01,ACFDNK010000377.1
GCA_061095005.1_ASM6109500v1_genomic.attC_filtered,integron_01,ACFDNK010000143.1
GCA_061095345.1_ASM6109534v1_genomic.attC_filtered,integron_01,ACFDNU010000039.1
GCA_061095345.1_ASM6109534v1_genomic.attC_filtered,integron_01,ACFDNU010000315.1
GCA_061095365.1_ASM6109536v1_genomic.attC_filtered,integron_01,ACFDNR010000320.1
GCA_061095365.1_ASM6109536v1_genomic.attC_filtered,integron_01,ACFDNR010000038.1
GCA_061095445.1_ASM6109544v1_genomic.attC_filtered,integron_01,ACFDNT010000040.1
GCA_061095445.1_ASM6109544v1_genomic.attC_filtered,integron_01,ACFDNT010000319.1
